id,question,A,B,C,D,correctIndex,correctLetter,category,difficulty,tip
46,"What will this print?

let n=16; console.log(Math.sqrt(n));",undefined,4,NaN,TypeError,1,B,console,easy,
47,"What will this print?

let x=5; console.log(Boolean(x));",NaN,undefined,true,TypeError,2,C,console,easy,
48,Which declares a variable you can change later?,score ++,const score = 0;,const score;,let score = 0;,3,D,variables,easy,
49,Create a constant for tax rate 0.05.,const tax = 0.05;,let tax : 0.05;,tax := 0.05;,tax = const 0.05;,0,A,variables,easy,
50,Build 'Level 3' with a template literal.,'Level ' + ${3},`Level ${3}`,"String('Level', 3)","concat('Level', 3)",1,B,strings,easy,
51,True strict comparison:,3 = 3,3 == '3',3 === 3,3 !== 3,2,C,compare,easy,
52,Which is truthy?,NaN,0,'',1,3,D,truthy-falsy,easy,
53,Add 4 to total:,total += 4;,total =+ 4;,total == 4;,total <= 4;,0,A,math,easy,
54,Number result (not string):,'42' + 0,Number('42'),`${42}`,String(42),1,B,conversion,easy,
55,Which equals 14 by order?,2 * (3 + 4),(2 + 3) * 4,2 + 3 * 4,2 * 3 + 4 * 2,2,C,math,medium,Multiplication before addition.
56,Math.floor(-2.1) returns:,2,-2,-1,-3,3,D,math,medium,Floor goes toward negative infinity.
57,"Fill the blank for greeting:

const name='Ada'; const msg=`Hello, ____!`;",${name},name,(name),%s name,0,A,strings,easy,
58,Add 5 to end of arr:,arr.unshift(5);,arr.push(5);,arr.pop(5);,arr.shift(5);,1,B,arrays,easy,
59,Remove first element:,arr.slice(1);,arr.pop();,arr.shift();,arr.push();,2,C,arrays,easy,
60,NEW array with doubled values:,nums.reduce(n=>n*2),nums.forEach(n=>n*2),nums.filter(n=>n*2),nums.map(n=>n*2),3,D,arrays,easy,
61,Keep only evens:,nums.filter(n=>n%2===0),nums.map(n=>n%2===0),nums.includes(n=>n%2===0),nums.find(n=>n%2===0),0,A,arrays,easy,
62,Combine arrays a and b into c:,a.push(...b),const c = a.concat(b),a.unshift(b),a = b,1,B,arrays,easy,
63,Get last item:,last(arr),arr[-1],arr[arr.length-1],arr[len-1],2,C,arrays,easy,
64,Check if nums contains 3:,nums.some(3),nums.has(3),3 in nums,nums.includes(3),3,D,arrays,easy,
65,Shallow copy array:,[...arr],arr,arr.copy(),clone(arr),0,A,arrays,easy,
66,Join with '-' :,arr.concat('-'),arr.join('-'),arr.toText('-'),arr.link('-'),1,B,arrays,easy,
67,Slice to get indices 1 and 2:,"arr.slice(0,2)","arr.slice(1,2)","arr.slice(1,3)","arr.slice(2,4)",2,C,arrays,easy,
68,Sort numbers ascending:,"sort(nums,'asc')",nums.sort(),nums.sortAsc(),"nums.sort((a,b)=>a-b)",3,D,arrays,medium,Default sort compares as strings.
69,Loop through array values:,for (const v of arr){ console.log(v); },for (const v in arr){ console.log(v); },for (arr of v){ console.log(v); },for (let arr=0; arr<v; arr++){},0,A,loops,easy,
70,"Sum with for...of:

const nums=[1,2,3]; let sum=0;
for (let n of nums) { sum ____ n; }",=,+=,-=,*=,1,B,loops,easy,
71,Count down 3..1:,let n=0; while(n<3){ n--; },let n=3; while(n>=0){ console.log(n); n++; },let n=3; while(n>0){ console.log(n); n--; },let n=3; while(true){break;},2,C,loops,easy,
72,"Continue does what here?

for (let n of nums) {
  if (n % 2) continue;
  console.log(n);
}",Throws an error,Stops the loop,Prints all numbers,Skips odd numbers,3,D,loops,easy,
73,Best loop when count is known:,for,while,for...of,for...in,0,A,loops,easy,
74,Endless loop to avoid:,while (i < 10),while (true),while (i !== 0),while (count),1,B,loops,medium,Use only with an internal break.
75,Declare square returning n*n.,square(n) => n*n,function square(n){ console.log(n*n); },function square(n){ return n*n; },def square(n): return n*n,2,C,functions,easy,
76,Save result of greet('Alex'):,const msg = greet <Alex>;,const msg = greet 'Alex';,const msg = greet{'Alex'};,const msg = greet('Alex');,3,D,functions,easy,
77,Arrow function doubling x:,const d = x => x*2;,const d = x -> x*2;,const d(x) = x*2;,const d = (x) => { x*2; },0,A,functions,easy,
78,Total array with reduce:,function add(arr){ arr.map(n=>sum+=n); return sum; },"function add(arr){ return arr.reduce((a,b)=>a+b,0); }",function add(arr){ return arr.join('+'); },function add(arr){ return arr.filter(n=>n).length; },1,B,functions,medium,Prefer reduce for totals.
79,Math.floor does what?,Rounds up,Rounds to nearest,Rounds down to integer,Truncates to zero always,2,C,function-definitions,easy,
80,Math.round does what?,Returns fractional part,Rounds down,Rounds up,Rounds to nearest integer,3,D,function-definitions,easy,
81,Math.max returns:,The largest value,The smallest value,The average,The sum,0,A,function-definitions,easy,
82,Math.min returns:,The largest value,The smallest value,The average,The sum,1,B,function-definitions,easy,
83,toUpperCase returns:,A number,The same string modified,A new string uppercased,undefined,2,C,function-definitions,medium,Strings are immutable; methods return new strings.
84,includes on strings returns:,Always false,The index,Removes substring,true if substring exists,3,D,function-definitions,easy,
85,push(x) does:,Adds to end; returns new length,Adds to start,Removes last,Returns array copy,0,A,function-definitions,easy,
86,pop() does:,Removes first,Removes last and returns it,Adds element,Returns length,1,B,function-definitions,easy,
87,shift() does:,Adds to end,Removes last,Removes first and returns it,Sorts,2,C,function-definitions,easy,
88,unshift(x) does:,Returns first,Adds to end,Removes first,Adds to start; returns new length,3,D,function-definitions,easy,
89,map(fn) returns:,New array of mapped values,A single number,A boolean,Original array,0,A,function-definitions,medium,Map transforms each element.
90,filter(fn) returns:,First match,New array of passing values,true/false only,Count of matches,1,B,function-definitions,medium,Filter keeps elements where callback is truthy.
91,"reduce(fn,init) returns:",The last element,New array,A single accumulated value,The first element,2,C,function-definitions,medium,Reduce combines items into one result.
92,find(fn) returns:,Always last item,All matches,Index of match,First match or undefined,3,D,function-definitions,easy,
93,includes(x) on arrays returns:,true if x present,Index of x,Removes x,Adds x,0,A,function-definitions,easy,
94,"slice(start,end) returns:",Removes that part,Copy from start up to end (exclusive),Sorts,Reverses,1,B,function-definitions,easy,
95,"splice(start,count) does:",Sorts descending,Creates a copy,Changes array by removing/replacing items,Returns sorted copy,2,C,function-definitions,medium,Splice mutates the original array.
96,join(sep) returns:,Length,New array of strings,First element,String of elements joined,3,D,function-definitions,easy,
97,concat merges arrays and returns:,A new combined array,The same array,Only unique elements,A sorted copy,0,A,function-definitions,easy,
98,Number('42') returns:,The string '42',The number 42,NaN always,undefined,1,B,function-definitions,easy,
99,"parseInt('10px',10) returns:",'10',NaN,10,0,2,C,function-definitions,easy,
100,parseFloat('2.5kg') returns:,0,'2.5',NaN,2.5,3,D,function-definitions,easy,
